"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Australia","Conventional crude oil - imports","2024","Metric tons,  thousand","7872.206",""
"Australia","Conventional crude oil - imports","2023","Metric tons,  thousand","7913.173",""
"Australia","Conventional crude oil - imports","2022","Metric tons,  thousand","8426.981",""
"Australia","Conventional crude oil - imports","2021","Metric tons,  thousand","11089.065",""
"Australia","Conventional crude oil - imports","2020","Metric tons,  thousand","14437.857",""
"Australia","Conventional crude oil - imports","2019","Metric tons,  thousand","17184.021",""
"Australia","Conventional crude oil - imports","2018","Metric tons,  thousand","17673.985",""
"Australia","Conventional crude oil - imports","2017","Metric tons,  thousand","15959.12",""
"Australia","Conventional crude oil - imports","2016","Metric tons,  thousand","15323",""
"Australia","Conventional crude oil - imports","2015","Metric tons,  thousand","19447",""
"Brazil","Conventional crude oil - imports","2024","Metric tons,  thousand","12896.168",""
"Brazil","Conventional crude oil - imports","2023","Metric tons,  thousand","11491.531",""
"Brazil","Conventional crude oil - imports","2022","Metric tons,  thousand","12474.078",""
"Brazil","Conventional crude oil - imports","2021","Metric tons,  thousand","7104.957",""
"Brazil","Conventional crude oil - imports","2020","Metric tons,  thousand","8597",""
"Brazil","Conventional crude oil - imports","2019","Metric tons,  thousand","8796",""
"Brazil","Conventional crude oil - imports","2018","Metric tons,  thousand","9530",""
"Brazil","Conventional crude oil - imports","2017","Metric tons,  thousand","7415",""
"Brazil","Conventional crude oil - imports","2016","Metric tons,  thousand","7937",""
"Brazil","Conventional crude oil - imports","2015","Metric tons,  thousand","15273",""
"Canada","Conventional crude oil - imports","2024","Metric tons,  thousand","32557.561",""
"Canada","Conventional crude oil - imports","2023","Metric tons,  thousand","29981.036",""
"Canada","Conventional crude oil - imports","2022","Metric tons,  thousand","31303.017",""
"Canada","Conventional crude oil - imports","2021","Metric tons,  thousand","32745.269",""
"Canada","Conventional crude oil - imports","2020","Metric tons,  thousand","38025.443",""
"Canada","Conventional crude oil - imports","2019","Metric tons,  thousand","42199.921",""
"Canada","Conventional crude oil - imports","2018","Metric tons,  thousand","39311",""
"Canada","Conventional crude oil - imports","2017","Metric tons,  thousand","40562",""
"Canada","Conventional crude oil - imports","2016","Metric tons,  thousand","46689",""
"Canada","Conventional crude oil - imports","2015","Metric tons,  thousand","45844",""
"China","Conventional crude oil - imports","2024","Metric tons,  thousand","553420",""
"China","Conventional crude oil - imports","2023","Metric tons,  thousand","563940.47",""
"China","Conventional crude oil - imports","2022","Metric tons,  thousand","508230.96",""
"China","Conventional crude oil - imports","2021","Metric tons,  thousand","512922.14",""
"China","Conventional crude oil - imports","2020","Metric tons,  thousand","542006.69",""
"China","Conventional crude oil - imports","2019","Metric tons,  thousand","505676.04",""
"China","Conventional crude oil - imports","2018","Metric tons,  thousand","461885.5",""
"China","Conventional crude oil - imports","2017","Metric tons,  thousand","419462.3",""
"China","Conventional crude oil - imports","2016","Metric tons,  thousand","381006.9",""
"China","Conventional crude oil - imports","2015","Metric tons,  thousand","335482.8",""
"France","Conventional crude oil - imports","2024","Metric tons,  thousand","44577",""
"France","Conventional crude oil - imports","2023","Metric tons,  thousand","45506",""
"France","Conventional crude oil - imports","2022","Metric tons,  thousand","41016",""
"France","Conventional crude oil - imports","2021","Metric tons,  thousand","33831.879",""
"France","Conventional crude oil - imports","2020","Metric tons,  thousand","33121",""
"France","Conventional crude oil - imports","2019","Metric tons,  thousand","48335",""
"France","Conventional crude oil - imports","2018","Metric tons,  thousand","52726.505",""
"France","Conventional crude oil - imports","2017","Metric tons,  thousand","57053",""
"France","Conventional crude oil - imports","2016","Metric tons,  thousand","54894",""
"France","Conventional crude oil - imports","2015","Metric tons,  thousand","57452",""
"Germany","Conventional crude oil - imports","2024","Metric tons,  thousand","83898",""
"Germany","Conventional crude oil - imports","2023","Metric tons,  thousand","77197",""
"Germany","Conventional crude oil - imports","2022","Metric tons,  thousand","88248",""
"Germany","Conventional crude oil - imports","2021","Metric tons,  thousand","81296",""
"Germany","Conventional crude oil - imports","2020","Metric tons,  thousand","82724",""
"Germany","Conventional crude oil - imports","2019","Metric tons,  thousand","85991",""
"Germany","Conventional crude oil - imports","2018","Metric tons,  thousand","85209",""
"Germany","Conventional crude oil - imports","2017","Metric tons,  thousand","90738",""
"Germany","Conventional crude oil - imports","2016","Metric tons,  thousand","91244",""
"Germany","Conventional crude oil - imports","2015","Metric tons,  thousand","91275",""
"India","Conventional crude oil - imports","2023","Metric tons,  thousand","254032.094",""
"India","Conventional crude oil - imports","2022","Metric tons,  thousand","232730",""
"India","Conventional crude oil - imports","2021","Metric tons,  thousand","211980","1"
"India","Conventional crude oil - imports","2020","Metric tons,  thousand","196461","1"
"India","Conventional crude oil - imports","2019","Metric tons,  thousand","226955","1"
"India","Conventional crude oil - imports","2018","Metric tons,  thousand","226500",""
"India","Conventional crude oil - imports","2017","Metric tons,  thousand","225282",""
"India","Conventional crude oil - imports","2016","Metric tons,  thousand","218618",""
"India","Conventional crude oil - imports","2015","Metric tons,  thousand","202850",""
"Indonesia","Conventional crude oil - imports","2023","Metric tons,  thousand","17029",""
"Indonesia","Conventional crude oil - imports","2022","Metric tons,  thousand","14122.309",""
"Indonesia","Conventional crude oil - imports","2021","Metric tons,  thousand","15931.5",""
"Indonesia","Conventional crude oil - imports","2020","Metric tons,  thousand","12192.6",""
"Indonesia","Conventional crude oil - imports","2019","Metric tons,  thousand","10121.696",""
"Indonesia","Conventional crude oil - imports","2018","Metric tons,  thousand","15404",""
"Indonesia","Conventional crude oil - imports","2017","Metric tons,  thousand","15889",""
"Indonesia","Conventional crude oil - imports","2016","Metric tons,  thousand","17452",""
"Indonesia","Conventional crude oil - imports","2015","Metric tons,  thousand","18431",""
"Japan","Conventional crude oil - imports","2024","Metric tons,  thousand","116321.593",""
"Japan","Conventional crude oil - imports","2023","Metric tons,  thousand","123425.437",""
