country_name,country_code,crude_oil_mbbl,natural_gas_mbbl_boe,total_boe_mbbl,valuation_at_10_usd,gdp_usd_2024,impact_percent_gdp,data_source
Australia,AUS,67.4476,0.0,67.4476,674475814.0,1795492000000.0,0.037565,WITS
Austria,AUT,56.2123,0.0257,56.238,562380387.0,523956000000.0,0.107334,WITS
Bulgaria,BGR,48.5981,0.0019,48.6,485999961.0,112232000000.0,0.433032,WITS
Canada,CAN,170.6321,5.7523,176.3844,1763844244.0,2243637000000.0,0.078615,WITS
Switzerland,CHE,18.9607,0.0326,18.9932,189932153.0,938153000000.0,0.020245,WITS
China,CHN,4055.1906,643.2056,4698.3962,46983962000.0,18749759000000.0,0.250584,WITS
Germany,DEU,575.6762,40.2336,615.9098,6159097740.0,4684182000000.0,0.131487,WITS
France,FRA,344.6573,173.7473,518.4046,5184046130.0,3160902000000.0,0.164005,WITS
India,IND,1772.0275,233.4688,2005.4963,20054962600.0,3909892000000.0,0.512929,WITS
Italy,ITA,399.8141,88.9132,488.7273,4887272770.0,2372059000000.0,0.206035,WITS
Japan,JPN,842.6495,553.4819,1396.1314,13961313500.0,4019382000000.0,0.34735,WITS
South Korea,KOR,1005.5294,389.0704,1394.5998,13945997600.0,1875388000000.0,0.743633,WITS
Malaysia,MYS,162.1594,27.2623,189.4217,1894216750.0,422227000000.0,0.448625,WITS
Netherlands,NLD,580.6672,112.8994,693.5666,6935665670.0,1214562000000.0,0.571043,WITS
Pakistan,PAK,71.4547,63.3777,134.8323,1348323365.0,371408000000.0,0.36303,WITS
Poland,POL,183.0821,0.0,183.0821,1830821430.0,914553000000.0,0.200188,WITS
Singapore,SGP,318.8931,56.9629,375.856,3758560360.0,547387000000.0,0.686637,WITS
Sweden,SWE,130.0349,3.1453,133.1803,1331802710.0,603715000000.0,0.220601,WITS
Thailand,THA,1302.9955,95.9062,1398.9016,13989016200.0,526518000000.0,2.656892,WITS
United States,USA,2753.5658,15.7336,2769.2994,27692994300.0,29298025000000.0,0.094522,WITS
South Africa,ZAF,59.9706,24.807,84.7777,847776629.0,401076000000.0,0.211376,WITS
Brazil,BRA,97.1081,0.0,97.1081,971081450.0,2179413000000.0,0.044557,UN
Spain,ESP,486.3488,0.0,486.3488,4863487921.0,1725152000000.0,0.281916,UN
United Kingdom,GBR,311.5914,0.0,311.5914,3115914000.0,3644636000000.0,0.085493,UN
Indonesia,IDN,128.2284,0.0,128.2284,1282283700.0,1396300000000.0,0.091834,UN
Mexico,MEX,1.4458,0.0,1.4458,14457600.0,1856366000000.0,0.000779,UN
Philippines,PHL,48.8433,0.0,48.8433,488433450.0,461617000000.0,0.105809,UN
Turkey,TUR,226.0853,0.0,226.0853,2260853058.0,1358251000000.0,0.166453,UN
Vietnam,VNM,101.2107,0.0,101.2107,1012107300.0,459472000000.0,0.220276,UN
