label,ticker,exchange,currency,quote_type,total_assets,net_assets,fund_size,fund_size_currency,fund_size_field,long_name,short_name,currency_hedged,currency_hedged_basis,history_start_date,history_end_date,history_rows,history_stale_days,included,reason
Australia,SAUS.L,LSE,GBp,ETF,496313920.0,496313920.0,496313920.0,GBp,totalAssets,iShares MSCI Australia UCITS ETF USD (Acc),ISHARES III PLC ISHRS MSCI AUST,unknown,no_name_marker,2010-01-22,2026-03-05,4071.0,1.0,yes,
Australia_2,EWA,PCX,USD,ETF,1437794304.0,1437794300.0,1437794304.0,USD,totalAssets,iShares MSCI Australia ETF,iShares MSCI Australia Index Fu,unknown,no_name_marker,1996-03-18,2026-03-05,7540.0,1.0,yes,
Austria,EWO,PCX,USD,ETF,142690112.0,142690112.0,142690112.0,USD,totalAssets,iShares MSCI Austria ETF,iShares MSCI Austria ETF,unknown,no_name_marker,1996-03-18,2026-03-05,7540.0,1.0,yes,
Belgium,EWK,PCX,USD,ETF,27746276.0,27746276.0,27746276.0,USD,totalAssets,iShares MSCI Belgium ETF,iShares MSCI Belgium ETF,unknown,no_name_marker,1996-03-18,2026-03-05,7540.0,1.0,yes,
Brazil,XMBR.L,LSE,GBp,ETF,175565600.0,175565600.0,175565600.0,GBp,totalAssets,Xtrackers MSCI Brazil UCITS ETF 1C,XTRACKERS X MSCI BRAZIL 1C,unknown,no_name_marker,2009-01-02,2026-03-05,4339.0,1.0,yes,
Brazil_2,EWZ,PCX,USD,ETF,9654647808.0,9654647800.0,9654647808.0,USD,totalAssets,iShares MSCI Brazil ETF,iShares MSCI Brazil ETF,unknown,no_name_marker,2000-07-14,2026-03-05,6448.0,1.0,yes,
Bulgaria,BGX.L,LSE,EUR,ETF,,,,EUR,,Expat Bulgaria SOFIX UCITS ETF,EXPAT ASSET MANAGEMENT EAD EXPA,unknown,no_name_marker,2018-10-01,2026-03-05,1873.0,1.0,yes,
Canada,CSCA.L,LSE,GBp,ETF,1692662016.0,1692662020.0,1692662016.0,GBp,totalAssets,iShares VII PLC - iShares MSCI Canada ETF USD Acc,ISHARES VII PLC ISHRS MSCI CANA,unknown,no_name_marker,2010-01-13,2026-03-05,4077.0,1.0,yes,
Canada_2,EWC,PCX,USD,ETF,4482914304.0,4482914300.0,4482914304.0,USD,totalAssets,iShares MSCI Canada ETF,iShares MSCI Canada Index Fund,unknown,no_name_marker,1996-03-18,2026-03-05,7540.0,1.0,yes,
China_1,IASH.L,LSE,GBp,ETF,,,,GBp,,iShares MSCI China A UCITS ETF,ISHARES IV PLC ISHS MSCI CHINA ,unknown,no_name_marker,2015-04-08,2026-03-05,2758.0,1.0,yes,
China_2,FRCH.L,LSE,GBP,ETF,1605869568.0,1605869570.0,1605869568.0,GBP,totalAssets,Franklin FTSE China UCITS ETF,FRANKLIN TEMPLETON ICAV FRK FTS,unknown,no_name_marker,2019-06-04,2026-03-05,1707.0,1.0,yes,
China_3,MCHI,NGM,USD,ETF,7447751680.0,7447751700.0,7447751680.0,USD,totalAssets,iShares MSCI China ETF,iShares MSCI China ETF,unknown,no_name_marker,2011-03-31,2026-03-05,3754.0,1.0,yes,
France_1,ISFR.L,LSE,GBp,ETF,211519040.0,211519040.0,211519040.0,GBp,totalAssets,iShares MSCI France UCITS ETF,ISHARES IV PLC ISHS MSCI FRANCE,unknown,no_name_marker,2014-09-05,2026-03-05,2906.0,1.0,yes,
France_2,EWQ,PCX,USD,ETF,383312288.0,383312288.0,383312288.0,USD,totalAssets,iShares MSCI France ETF,iShares MSCI France Index Fund,unknown,no_name_marker,1996-03-18,2026-03-05,7540.0,1.0,yes,
Germany,XDAX.L,LSE,GBp,ETF,6965079552.0,6965079600.0,6965079552.0,GBp,totalAssets,Xtrackers DAX UCITS ETF 1C,XTRACKERS X DAX,unknown,no_name_marker,2009-01-02,2026-03-05,4289.0,1.0,yes,
Germany_2,EWG,PCX,USD,ETF,1793942016.0,1793942020.0,1793942016.0,USD,totalAssets,iShares MSCI Germany ETF,iShares MSCI Germany Index Fund,unknown,no_name_marker,1996-03-18,2026-03-05,7540.0,1.0,yes,
Greece,0IWZ.L,LSE,USD,ETF,,,,USD,,Global X Funds - Global X MSCI Greece ETF,GLOBAL X MSCI GREECE ETF GLOBAL,unknown,no_name_marker,2018-01-29,2026-02-18,271.0,16.0,yes,
Greece_2,GREK,PCX,USD,ETF,347834848.0,347834848.0,347834848.0,USD,totalAssets,Global X MSCI Greece ETF,Global X MSCI Greece ETF,unknown,no_name_marker,2011-12-08,2026-03-05,3579.0,1.0,yes,
Hong Kong,EWH,PCX,USD,ETF,779529536.0,779529540.0,779529536.0,USD,totalAssets,iShares MSCI Hong Kong ETF,iShares MSCI Hong Kong Index Fu,unknown,no_name_marker,1996-03-18,2026-03-05,7540.0,1.0,yes,
India_1,IIND.L,LSE,GBP,ETF,5248004608.0,5248004600.0,5248004608.0,GBP,totalAssets,iShares MSCI India UCITS ETF USD Acc,ISHARES IV PLC ISH MSCI INDIA U,unknown,no_name_marker,2018-05-29,2026-03-05,1965.0,1.0,yes,
India_2,FRIN.L,LSE,GBP,ETF,1759243904.0,1759243900.0,1759243904.0,GBP,totalAssets,Franklin FTSE India UCITS ETF,FRANKLIN TEMPLETON ICAV FRK FTS,unknown,no_name_marker,2019-06-28,2026-03-05,1689.0,1.0,yes,
India_3,NDIA.L,LSE,USD,ETF,5248004608.0,5248004600.0,5248004608.0,USD,totalAssets,iShares MSCI India UCITS ETF USD Acc,ISHARES IV PLC ISH MSCI INDIA U,unknown,no_name_marker,2018-05-29,2026-03-05,1965.0,1.0,yes,
India_4,INDA,BTS,USD,ETF,9251804160.0,9251804200.0,9251804160.0,USD,totalAssets,iShares MSCI India ETF,Ishares MSCI India ETF,unknown,no_name_marker,,,,,no,unsupported exchange BTS
Indonesia,INDO.L,LSE,USD,ETF,,,,USD,,Lyxor MSCI Indonesia ETF C-USD,MULTI UNITS FRANCE LYXOR ETF MS,unknown,no_name_marker,,,,,no,no close history returned
Indonesia_2,EIDO,PCX,USD,ETF,310150976.0,310150976.0,310150976.0,USD,totalAssets,iShares MSCI Indonesia ETF,iShares MSCI Indonesia ETF,unknown,no_name_marker,2010-05-07,2026-03-05,3981.0,1.0,yes,
Italy,CMIB.L,LSE,EUR,ETF,,,,EUR,,iShares VII Public Limited Company - iShares FTSE MIB UCITS ETF EUR (Acc),ISHARES VII PLC ISHARES FTSE MI,unknown,no_name_marker,,,,,no,no close history returned
