Date,price_usd,currency
2003-12-01,1.19650137424469,EUR
2003-12-02,1.2088974714279175,EUR
2003-12-03,1.2122975587844849,EUR
2003-12-04,1.2080942392349243,EUR
2003-12-05,1.2186946868896484,EUR
2003-12-08,1.2220009565353394,EUR
2003-12-09,1.2249947786331177,EUR
2003-12-10,1.2190959453582764,EUR
2003-12-11,1.2224042415618896,EUR
2003-12-12,1.2278977632522583,EUR
2003-12-15,1.2319974899291992,EUR
2003-12-16,1.2321947813034058,EUR
2003-12-17,1.2402024269104004,EUR
2003-12-18,1.2422977685928345,EUR
2003-12-19,1.2384973764419556,EUR
2003-12-22,1.2398948669433594,EUR
2003-12-23,1.2400025129318237,EUR
2003-12-24,1.245298981666565,EUR
2003-12-25,1.2448029518127441,EUR
2003-12-26,1.243193507194519,EUR
2003-12-29,1.2483927011489868,EUR
2003-12-30,1.2548940181732178,EUR
2003-12-31,1.2590018510818481,EUR
2004-01-01,1.2581939697265625,EUR
2004-01-02,1.2581939697265625,EUR
2004-01-05,1.2686975002288818,EUR
2004-01-06,1.2721028327941895,EUR
2004-01-07,1.2640947103500366,EUR
2004-01-08,1.2774981260299683,EUR
2004-01-09,1.2858924865722656,EUR
2004-01-12,1.2740962505340576,EUR
2004-01-13,1.278592586517334,EUR
2004-01-14,1.2651021480560303,EUR
2004-01-15,1.260096549987793,EUR
2004-01-16,1.239802598953247,EUR
2004-01-19,1.235406756401062,EUR
2004-01-20,1.2589067220687866,EUR
2004-01-21,1.2659028768539429,EUR
2004-01-22,1.2725075483322144,EUR
2004-01-23,1.2583048343658447,EUR
2004-01-26,1.2487980127334595,EUR
2004-01-27,1.2636953592300415,EUR
2004-01-28,1.2441989183425903,EUR
2004-01-29,1.2410026788711548,EUR
2004-01-30,1.2468050718307495,EUR
2004-02-02,1.2433016300201416,EUR
2004-02-03,1.2534940242767334,EUR
2004-02-04,1.2539970874786377,EUR
2004-02-05,1.2571974992752075,EUR
2004-02-06,1.2700024843215942,EUR
2004-02-09,1.2694060802459717,EUR
2004-02-10,1.26850426197052,EUR
2004-02-11,1.2830052375793457,EUR
2004-02-12,1.2818048000335693,EUR
2004-02-13,1.272799015045166,EUR
2004-02-16,1.2765034437179565,EUR
2004-02-17,1.2857933044433594,EUR
2004-02-18,1.2725075483322144,EUR
2004-02-19,1.2757054567337036,EUR
2004-02-20,1.2542015314102173,EUR
2004-02-23,1.2571974992752075,EUR
2004-02-24,1.2677966356277466,EUR
2004-02-25,1.249703288078308,EUR
2004-02-26,1.2448029518127441,EUR
2004-02-27,1.2494065761566162,EUR
2004-03-01,1.2448029518127441,EUR
2004-03-02,1.220405101776123,EUR
2004-03-03,1.2190959453582764,EUR
2004-03-04,1.220703125,EUR
2004-03-05,1.2367972135543823,EUR
2004-03-08,1.242606520652771,EUR
2004-03-09,1.2319064140319824,EUR
2004-03-10,1.2231967449188232,EUR
2004-03-11,1.235101580619812,EUR
2004-03-12,1.2224042415618896,EUR
2004-03-15,1.22720468044281,EUR
2004-03-16,1.2261061668395996,EUR
2004-03-17,1.2227030992507935,EUR
2004-03-18,1.2388964891433716,EUR
2004-03-19,1.2269035577774048,EUR
2004-03-22,1.2345983982086182,EUR
2004-03-23,1.2345069646835327,EUR
2004-03-24,1.2139016389846802,EUR
2004-03-25,1.2136952877044678,EUR
2004-03-26,1.212694525718689,EUR
2004-03-29,1.216604232788086,EUR
2004-03-30,1.2185016870498657,EUR
2004-03-31,1.231299638748169,EUR
2004-04-01,1.2365065813064575,EUR
2004-04-02,1.2129004001617432,EUR
2004-04-05,1.201302170753479,EUR
2004-04-06,1.213106393814087,EUR
2004-04-07,1.216604232788086,EUR
2004-04-08,1.2077003717422485,EUR
2004-04-09,1.208605170249939,EUR
2004-04-12,1.2073066234588623,EUR
2004-04-13,1.193801760673523,EUR
2004-04-14,1.1947003602981567,EUR
2004-04-15,1.1986957788467407,EUR
2004-04-16,1.2002928256988525,EUR
2004-04-19,1.2006964683532715,EUR
2004-04-20,1.184805989265442,EUR
2004-04-21,1.1810001134872437,EUR
2004-04-22,1.1925063133239746,EUR
2004-04-23,1.1850025653839111,EUR
2004-04-26,1.1861974000930786,EUR
2004-04-27,1.1929045915603638,EUR
2004-04-28,1.1843008995056152,EUR
