country_name,country_code,indicator,indicator_label,frequency,year,value
Australia,AUS,NGDP,"GDP, current prices (domestic currency)",A,2004,894328000000
Australia,AUS,NGDP,"GDP, current prices (domestic currency)",A,2005,964210000000
Australia,AUS,NGDP,"GDP, current prices (domestic currency)",A,2006,1039949000000
Australia,AUS,NGDP,"GDP, current prices (domestic currency)",A,2007,1133005000000
Australia,AUS,NGDP,"GDP, current prices (domestic currency)",A,2008,1235366000000
Australia,AUS,NGDP,"GDP, current prices (domestic currency)",A,2009,1264787000000
Australia,AUS,NGDP,"GDP, current prices (domestic currency)",A,2010,1364462000000
Australia,AUS,NGDP,"GDP, current prices (domestic currency)",A,2011,1468209000000
Australia,AUS,NGDP,"GDP, current prices (domestic currency)",A,2012,1515871000000
Australia,AUS,NGDP,"GDP, current prices (domestic currency)",A,2013,1569448000000
Australia,AUS,NGDP,"GDP, current prices (domestic currency)",A,2014,1613987000000
Australia,AUS,NGDP,"GDP, current prices (domestic currency)",A,2015,1639508000000
Australia,AUS,NGDP,"GDP, current prices (domestic currency)",A,2016,1697357000000
Australia,AUS,NGDP,"GDP, current prices (domestic currency)",A,2017,1801193000000
Australia,AUS,NGDP,"GDP, current prices (domestic currency)",A,2018,1894241000000
Australia,AUS,NGDP,"GDP, current prices (domestic currency)",A,2019,1993444000000
Australia,AUS,NGDP,"GDP, current prices (domestic currency)",A,2020,1973668000000
Australia,AUS,NGDP,"GDP, current prices (domestic currency)",A,2021,2202558000000
Australia,AUS,NGDP,"GDP, current prices (domestic currency)",A,2022,2482797000000
Australia,AUS,NGDP,"GDP, current prices (domestic currency)",A,2023,2620698000000
Australia,AUS,NGDP,"GDP, current prices (domestic currency)",A,2024,2720077000000
Australia,AUS,NGDP,"GDP, current prices (domestic currency)",A,2025,2850743000000
Australia,AUS,NGDP,"GDP, current prices (domestic currency)",A,2026,2999521000000
Australia,AUS,NGDP,"GDP, current prices (domestic currency)",A,2027,3133385000000
Australia,AUS,NGDP,"GDP, current prices (domestic currency)",A,2028,3272081000000
Australia,AUS,NGDP,"GDP, current prices (domestic currency)",A,2029,3417037000000
Australia,AUS,NGDPD,"GDP, current prices (U.S. dollars)",A,2004,658743000000
Australia,AUS,NGDPD,"GDP, current prices (U.S. dollars)",A,2005,736505000000
Australia,AUS,NGDPD,"GDP, current prices (U.S. dollars)",A,2006,783446000000
Australia,AUS,NGDPD,"GDP, current prices (U.S. dollars)",A,2007,950093000000
Australia,AUS,NGDPD,"GDP, current prices (U.S. dollars)",A,2008,1056565000000
Australia,AUS,NGDPD,"GDP, current prices (U.S. dollars)",A,2009,1000831000000
Australia,AUS,NGDPD,"GDP, current prices (U.S. dollars)",A,2010,1254622000000
Australia,AUS,NGDPD,"GDP, current prices (U.S. dollars)",A,2011,1515504000000
Australia,AUS,NGDPD,"GDP, current prices (U.S. dollars)",A,2012,1570139000000
Australia,AUS,NGDPD,"GDP, current prices (U.S. dollars)",A,2013,1519895000000
Australia,AUS,NGDPD,"GDP, current prices (U.S. dollars)",A,2014,1456939000000
Australia,AUS,NGDPD,"GDP, current prices (U.S. dollars)",A,2015,1233914000000
Australia,AUS,NGDPD,"GDP, current prices (U.S. dollars)",A,2016,1262645000000
Australia,AUS,NGDPD,"GDP, current prices (U.S. dollars)",A,2017,1381106000000
Australia,AUS,NGDPD,"GDP, current prices (U.S. dollars)",A,2018,1417158000000
Australia,AUS,NGDPD,"GDP, current prices (U.S. dollars)",A,2019,1386289000000
Australia,AUS,NGDPD,"GDP, current prices (U.S. dollars)",A,2020,1362665000000
Australia,AUS,NGDPD,"GDP, current prices (U.S. dollars)",A,2021,1655838000000
Australia,AUS,NGDPD,"GDP, current prices (U.S. dollars)",A,2022,1725433000000
Australia,AUS,NGDPD,"GDP, current prices (U.S. dollars)",A,2023,1742311000000
Australia,AUS,NGDPD,"GDP, current prices (U.S. dollars)",A,2024,1795492000000
Australia,AUS,NGDPD,"GDP, current prices (U.S. dollars)",A,2025,1829508000000
Australia,AUS,NGDPD,"GDP, current prices (U.S. dollars)",A,2026,1948227000000
Australia,AUS,NGDPD,"GDP, current prices (U.S. dollars)",A,2027,2036053000000
Australia,AUS,NGDPD,"GDP, current prices (U.S. dollars)",A,2028,2132013000000
Australia,AUS,NGDPD,"GDP, current prices (U.S. dollars)",A,2029,2228386000000
Australia,AUS,NGDPD_PCH,"Nominal GDP growth (percent change, derived from NGDPD)",A,2005,11.804604
Australia,AUS,NGDPD_PCH,"Nominal GDP growth (percent change, derived from NGDPD)",A,2006,6.373480
Australia,AUS,NGDPD_PCH,"Nominal GDP growth (percent change, derived from NGDPD)",A,2007,21.271026
Australia,AUS,NGDPD_PCH,"Nominal GDP growth (percent change, derived from NGDPD)",A,2008,11.206482
Australia,AUS,NGDPD_PCH,"Nominal GDP growth (percent change, derived from NGDPD)",A,2009,-5.275019
Australia,AUS,NGDPD_PCH,"Nominal GDP growth (percent change, derived from NGDPD)",A,2010,25.358027
Australia,AUS,NGDPD_PCH,"Nominal GDP growth (percent change, derived from NGDPD)",A,2011,20.793673
Australia,AUS,NGDPD_PCH,"Nominal GDP growth (percent change, derived from NGDPD)",A,2012,3.605071
Australia,AUS,NGDPD_PCH,"Nominal GDP growth (percent change, derived from NGDPD)",A,2013,-3.199971
Australia,AUS,NGDPD_PCH,"Nominal GDP growth (percent change, derived from NGDPD)",A,2014,-4.142128
Australia,AUS,NGDPD_PCH,"Nominal GDP growth (percent change, derived from NGDPD)",A,2015,-15.307779
Australia,AUS,NGDPD_PCH,"Nominal GDP growth (percent change, derived from NGDPD)",A,2016,2.328444
Australia,AUS,NGDPD_PCH,"Nominal GDP growth (percent change, derived from NGDPD)",A,2017,9.381972
Australia,AUS,NGDPD_PCH,"Nominal GDP growth (percent change, derived from NGDPD)",A,2018,2.610372
